Customer ID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Is_Anomaly
12346,326,12,77556.46,1,3.3541534661092776,2.4235912130393396,True
12347,2,8,5633.32,1,0.5366720925990446,-0.7982881653057676,False
12348,75,5,2019.4,1,0.09986707122396586,-0.595141364124793,False
12349,19,4,4428.69,1,0.2466675725116308,-0.7939555717676811,False
12350,310,1,334.4,0,-0.5751938606052994,0.35950195318223616,False
12351,375,1,300.93,0,-0.68519769844207,0.6455232427921136,False
12352,36,10,2849.84,1,0.4624373569201725,-0.6953246743101205,False
12353,204,2,406.76,1,-0.34280824694074896,-0.09615925573407229,False
12354,232,1,1079.4,1,-0.412323280533511,0.033433485097144215,False
12355,214,2,947.61,1,-0.3358216735839906,-0.03886529693108055,False
12356,23,6,6373.68,1,0.429595151439806,-0.7082777749372403,False
12357,33,3,18287.66,1,0.7779819393924307,-0.40516197036479745,True
12358,2,5,3887.07,1,0.3035522050215643,-0.8718175515282259,False
12359,58,10,8935.94,1,0.6922221092139258,-0.450094201487053,False
12360,52,8,4252.89,1,0.3927298318276146,-0.61124742893627,False
12361,287,4,511.25,0,-0.37239488525169995,0.2933332697284267,False
12362,3,11,5356.23,1,0.6795166415415478,-0.7695979491810359,False
12363,110,2,552.0,1,-0.1794851057027363,-0.5074328371986241,False
12364,8,4,1313.1,1,0.12859854562274858,-0.9183365729004662,False
12365,291,2,641.38,0,-0.477807947089453,0.29347082478697967,False
12366,634,1,500.24,0,-1.1089522721081444,1.7933060322664427,False
12367,4,1,168.9,1,-0.0714772726380742,-0.9948623379263787,False
12368,628,1,917.6999999999999,0,-1.0806520800449186,1.7769906502328832,False
12369,413,3,1791.15,0,-0.5789590667773539,0.8701683530053619,False
12370,51,7,4320.31,1,0.3451358825085696,-0.624359911411205,False
12371,45,5,4067.38,1,0.2396461414494467,-0.6776753995867675,False
12372,72,3,1298.04,1,-0.031145473306787696,-0.6466207645108852,False
12373,311,3,1127.65,0,-0.4376934951985369,0.4039055725012584,False
12374,25,4,2989.2200000000003,1,0.17361181352205765,-0.8025179013796453,False
12375,11,2,457.5,1,-0.018311502480041843,-0.9466064654692541,False
12376,390,2,503.15,0,-0.6491731952968041,0.7269793520984577,False
12377,315,4,3426.32,0,-0.2914938676688788,0.4878518739165035,False
12378,130,2,5416.32,1,0.00013544423280341576,-0.3007685899827629,False
12379,82,4,1620.22,1,0.01848137039911064,-0.5843089042406415,False
12380,22,11,9676.300000000001,1,0.8369733699429664,-0.5805946675255436,False
12381,5,5,1845.31,1,0.20913058831696146,-0.908279376736918,False
12383,185,5,1850.56,1,-0.09120663237322212,-0.11383646438195805,False
12384,29,2,585.27,1,-0.04277294823714245,-0.8640647833879399,False
12385,379,1,1938.4,0,-0.6201693543352842,0.7030338952175315,False
12386,338,2,660.8,0,-0.5554389285949467,0.5013480481763275,False
12387,415,1,143.94,0,-0.7588652541361087,0.8182162712554608,False
12388,16,8,3901.11,1,0.43743820904059405,-0.7786734619267626,False
12389,403,3,1433.33,0,-0.5779304432040142,0.8173297004738157,False
12390,80,1,549.84,1,-0.1817013784755534,-0.6502120233313621,False
12391,22,6,2773.42,1,0.27360342207446353,-0.800327969141005,False
12392,591,1,234.75000000000003,0,-1.0487763865096145,1.5970904334135392,False
12393,72,6,2399.4500000000003,1,0.1737357671177433,-0.5887880383773688,False
12394,64,2,1272.48,1,-0.0711224543356689,-0.6928865934048724,False
